coords,nb_x,nb_y,nb_likelihood,nt_x,nt_y,nt_likelihood,ad_x,ad_y,ad_likelihood
0,156.0628815,215.9748535,1,156.3708496,253.7689819,1,199.079895,348.1497803,1
1,156.35849,215.9748535,1,156.7861176,253.7689819,1,199.079895,348.2468262,1
2,156.4820099,215.9748535,1,156.7861328,253.7689819,1,199.079895,348.3459778,1
3,156.615036,215.0766907,1,156.7861328,253.5075684,1,198.9775391,348.3459778,1
4,156.615036,215.0766907,1,156.7861176,253.5075684,1,198.9770355,348.5296631,1
5,156.615036,215.0766907,1,156.3556061,253.5075684,1,198.4243317,348.645752,1
6,155.3936157,215.836853,1,155.0397034,253.7475891,1,198.137207,348.5588074,1
7,153.9964142,216.7802734,1,154.0286255,254.3996124,1,198.0446625,348.5296631,1
8,151.6377716,217.4728394,1,152.4549103,254.6715851,1,198.0099945,348.5296631,1
9,150.20784,218.0432129,1,151.8823853,254.738678,1,197.6837311,348.3409119,1
10,149.712738,218.0432129,1,151.0735016,254.738678,1,197.5696106,348.2809143,1
11,149.5827637,218.0432129,1,150.8456116,254.738678,1,197.4498138,348.2721252,1
12,149.5827484,218.0438995,1,150.8455658,254.738678,1,197.4496155,348.1304321,1
13,149.557724,218.0438995,1,150.8024292,254.738678,1,197.4496155,348.1302795,1
14,149.0559235,218.2545166,1,150.1687469,255.4608612,1,197.3305969,348.0745239,1
15,148.5899048,218.8003998,1,149.5188141,256.2979431,1,197.2910156,348.0462952,1
16,148.2093353,218.9060211,1,148.9051666,256.8022766,1,196.8103333,347.900177,1
17,147.4066772,219.7759247,1,148.3873444,258.1466064,1,196.6936188,347.8721313,1
18,146.8750305,220.3175354,1,147.9508514,258.5809021,1,196.2046204,347.6322327,1
19,146.546463,221.2640991,1,147.5312653,258.5809021,1,196.0799103,347.5820923,1
20,146.3770447,221.3020325,1,147.5307007,258.5809021,1,196.0487366,347.5265198,1
21,145.8353577,221.3020325,1,147.354126,258.6182556,1,195.7456512,347.5265198,1
22,145.8353577,221.4212189,1,147.354126,258.6182556,1,195.5582733,347.5820923,1
23,145.8353577,221.4212189,1,147.354126,258.6182556,1,195.5192413,347.7863159,1
24,145.9447784,221.6319122,1,147.8742218,259.5447693,1,195.5192413,347.9072876,1
25,145.9606018,222.070343,1,148.1881714,259.7115479,1,195.3908081,347.9072876,1
26,146.2548676,222.2521667,1,148.3708649,259.8020935,1,195.3906555,347.9651794,1
27,146.5605621,222.2521667,1,148.893631,259.8764343,1,195.3906555,347.9651794,1
28,146.6291351,222.2521667,1,149.2249451,260.0365906,1,195.4228058,347.8148804,1
29,146.8488617,222.6844635,1,149.6363983,260.157196,1,195.4228058,347.8148804,1
30,147.0952148,222.9713593,1,149.8024902,260.7240601,1,195.4617767,347.8001404,1
31,147.0952148,222.9738617,1,149.8024902,260.7415161,1,195.6158295,347.799469,1
32,147.0952148,223.2753906,1,149.8024902,260.8405151,1,195.6158295,347.799469,1
33,147.0700073,223.4709778,1,149.7039337,261.0502625,1,195.6158295,347.7416992,1
34,146.9859772,223.7436371,1,149.6177063,261.1636658,1,195.6158295,347.7106628,1
